id;agency;name
01;Valônia;LINHA 01 - SANTA ROSA X VILA ISABEL
02;Valônia;LINHA 02 - CRUZEIRO X SANTA ROSA
03;Valônia;LINHA 03 - REBOURGEON X SANTA ROSA - VIA RODOVIA
04;Valônia;LINHA 04 - SANTA ROSA X REBOURGEON - VIA VARGINHA
05;Valônia;LINHA 05 - JARDIM DAS COLINAS X SANTA ROSA - VIA VARGINHA
06;Valônia;LINHA 06 - JARDIM DAS NACOES X SANTA ROSA - VIA RODOVIA
07;Valônia;LINHA 07A - CAFONA X CRUZEIRO - VIA JARDIM DAS COLINAS
07B;Valônia;LINHA 07B - FIGUEIRAS X MERCADO
08;Valônia;LINHA 08 - REBOURGEON X MEDICINA - VIA PIEDADE
09A;Valônia;LINHA 09 - RODOVIARIA X ANO BOM
09B;Valônia;LINHA 09B - GOIABAL X RODOVIARIA
11A;Valônia;LINHA 11A - NOVO HORIZONTE X SANTA ROSA - VIA RODOVIA
11B;Valônia;LINHA 11B - NOVO HORIZONTE X SANTA ROSA - VIA BAHAMAS
11C;Valônia;LINHA 11C - NOVO HORIZONTE X SANTA ROSA - VIA VARGINHA
12;Valônia;LINHA 12 - MERCADO X FREIRE - VIA SÃO PEDRO
13;Valônia;LINHA 13 - MERCADO X ANHUMAS - VIA MEDICINA
14;Valônia;LINHA 14 - MERCADO X BARRA - VIA RIO MANSO
15;Valônia;LINHA 15 - ÁGUA LIMPA X MERCADO
17;Valônia;LINHA 17 - REBOURGEON X CRUZEIRO
18;Valônia;LINHA 18 - RANCHO GRANDE X MERCADO
